hl1_x,position_section,position_subsection,author,year,longitude,latitude,Tracts,T_Total,T_White alone,T_Black or African American alone,T_American Indian and Alaska Native alone,T_Asian alone,T_Native Hawaiian and Other Pacific Islander alone,T_Some Other Race alone,T_Population of two or more races,T_Total Hispanic or Latino origin,T_Not Hispanic or Latino,T_Hispanic or Latino,Article_Count,T_majority_race,Neighborhood,White alone,Black or African American alone,Hispanic or Latino,"Asian, Native Hawaiian and Pacific Islander",Other Races or Multiple Races,majority_race
nuggets 129 celtics 98,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins canucks,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
sabres bruins,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
march run for river hawks falls just short,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins red wings,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
celtics bradley agree,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
raptors thumbnails,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
kelly olynyk leads celtics to rout of nets,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
shaky version of what happened,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
ainge playing the option game,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
trying to put the fun back into funeral,LIVING ARTS,unknown,unknown,2014.0,-71.06627069999999,42.3653248,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
through their eyes,NEWS,Metro,unknown,2014.0,-71.06154200000002,42.3629615,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
nhl standings,SPORTS,unknown,unknown,2014.0,-71.0608778,42.3659353,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
after studying hard they aced this test,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bruins wild,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
eriksson making up for lost time,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
blues bruins,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
bounce in their step,SPORTS,unknown,unknown,2014.0,-71.062146,42.366198,20303.0,3400.0,2364.0,575.0,6.0,331.0,1.0,43.0,80.0,3400.0,3027.0,373.0,159.0,T_White alone,West End,4933.0,338.0,613.0,1440.0,381.0,White alone
